utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
4624,CHI,target_child,oh mince !,,, ,Anae/2428.cha,?,clara,,,
4625,MOT,mother,qu'est-ce qu'ils font là ils mangent les choses ?,,, ,Anae/2428.cha,1,clara,,,
4626,CHI,target_child,ouais .,,, ,Anae/2428.cha,MOT,clara,,,
4627,MOT,mother,qu'est-ce qu'ils mangent ?,,, ,Anae/2428.cha,1,clara,,,
4628,CHI,target_child,oh !,,, ,Anae/2428.cha,MOT,clara,,,
4629,CHI,target_child,‹il y a› de la pizza dedans sur sa tête .,,, ,Anae/2428.cha,MOT,clara,,,
4630,BRO,Brother,oui il y a /.,,, ,Anae/2428.cha,1,clara,,,
4631,MOT,mother,< il y a de la pizza sur sa tête ?,,, ,Anae/2428.cha,1,clara,,,
4632,OBS,Investigator,oh !,,, ,Anae/2428.cha,1,clara,,,
4633,CHI,target_child,< ‹et [/]› et ça c'est cassé .,,, ,Anae/2428.cha,MOT,clara,,,
4634,OBS,Investigator,tu me fais voir la pizza sur la tête ?,,, ,Anae/2428.cha,1,clara,,,
4635,OBS,Investigator,je vois pas moi !,,, ,Anae/2428.cha,1,clara,,,
4636,BRO,Brother,< c'est un gâteau .,,, ,Anae/2428.cha,OBS,clara,,,
4637,MOT,mother,< c'est pas de la pizza c'est un gros gâteau d' anniversaire .,%act MOT tourne le livre vers OBS ,,%act MOT tourne le livre vers OBS  ,Anae/2428.cha,OBS,clara,,,
4638,OBS,Investigator,ah !,,, ,Anae/2428.cha,1,clara,,,
4639,OBS,Investigator,tu aimes la pizza Anaé ?,,, ,Anae/2428.cha,1,clara,,,
4640,BRO,Brother,regarde .,%xpnt show de l'index une image sur le livre ,,%xpnt show de l'index une image sur le livre  ,Anae/2428.cha,?,clara,,,
4641,OBS,Investigator,t(u) en manges ?,,, ,Anae/2428.cha,1,clara,,,
4642,MOT,mother,Anaé tu dis à Aliyah est-ce que tu aimes ça la pizza ?,,, ,Anae/2428.cha,1,clara,,,
4643,BRO,Brother,< regarde .,%act BRO ouvre une fenêtre du livre ,,%act BRO ouvre une fenêtre du livre  ,Anae/2428.cha,1,clara,,,
4644,BRO,Brother,elle a donné un [/] un ballon à la tortue .,,, ,Anae/2428.cha,1,clara,,,
4645,MOT,mother,< hum [=! hoche la tête] .,,, ,Anae/2428.cha,1,clara,,,
4646,MOT,mother,Anaé est-ce que tu aimes la pizza ?,,, ,Anae/2428.cha,1,clara,,,
4647,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
4648,BRO,Brother,on ouvre ?,,, ,Anae/2428.cha,1,clara,,,
4649,MOT,mother,oh <qu'est-ce qu'il fait> [//] regarde qu'est-ce qu'elle fait la grenouille là ?,%xpnt show de l'index sur le livre ,,%xpnt show de l'index sur le livre  ,Anae/2428.cha,1,clara,,,
4650,BRO,Brother,du toboggan .,,, ,Anae/2428.cha,1,clara,,,
4651,MOT,mother,bon et Ael c'est pas à toi que je demande .,,, ,Anae/2428.cha,BRO,clara,,,
4652,CHI,target_child,oh la tortue a attrapé un ballon .,,, ,Anae/2428.cha,MOT,clara,,,
4653,CHI,target_child,il rigole le ballon .,,, ,Anae/2428.cha,MOT,clara,,,
4654,MOT,mother,ah oui !,,, ,Anae/2428.cha,1,clara,,,
4655,CHI,target_child,et petit koala et le petit yyy .,,, ,Anae/2428.cha,MOT,clara,,,
4656,MOT,mother,il envoie des [/] des confettis .,,, ,Anae/2428.cha,1,clara,,,
4657,CHI,target_child,et yyy il fait quoi ?,,, ,Anae/2428.cha,MOT,clara,,,
4658,BRO,Brother,< xxx .,,, ,Anae/2428.cha,1,clara,,,
