keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020700cd.cha 632 11221 632   8   1.2658228  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020800ab.cha 328 11221 328   5   1.5243902  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020600cd.cha 393 11221 393  18   4.5801527  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-021100cd.cha 550 11221 550   3   0.5454545  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020100cd.cha 569 11221 569   4   0.7029877  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-021100ab.cha 232 11221 232   6   2.5862069  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020500ab.cha 627 11221 627   7   1.1164274  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020800cd.cha 371 11221 371   2   0.5390836  1.024864094
Hlobohang unclassified adult    1 4561  0.10 NA Hlobohang-020200ab.cha 998 11221 998   1   0.1002004  0.008911862
Hlobohang unclassified child    2 4979  0.55 NA Hlobohang-020700ab.cha 366 11221 366   2   0.5464481  0.017823723
Litlhare ADS adult   44  340  1.29  1.85 Litlhare-020500ef.cha 310 12669 310   1   0.3225806  0.347304444
Litlhare ADS adult   44  340  1.29  1.85 Litlhare-020600ab.cha 645 12669 645   1   0.1550388  0.347304444
Litlhare ADS adult   44  340  1.29  1.85 Litlhare-020100ab.cha 912 12669 912  37   4.0570175  0.347304444
Litlhare ADS adult   44  340  1.29  1.85 Litlhare-030200ab.cha 788 12669 788   5   0.6345178  0.347304444
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020100cd.cha 732 12669 732  18   2.4590164  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020900ab.cha 618 12669 618  16   2.5889968  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-030200ab.cha 788 12669 788  69   8.7563452  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020600cd.cha 589 12669 589  17   2.8862479  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020500ab.cha 500 12669 500   2   0.4000000  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020200cd.cha 407 12669 407   2   0.4914005  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020500cd.cha 479 12669 479  17   3.5490605  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020200ab.cha 662 12669 662  20   3.0211480  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020100ef.cha 767 12669 767  24   3.1290743  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020800ab.cha 410 12669 410   2   0.4878049  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-030000cd.cha 667 12669 667  22   3.2983508  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020400ab.cha 899 12669 899  50   5.5617353  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020400cd.cha 505 12669 505  18   3.5643564  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-030000ab.cha 434 12669 434   7   1.6129032  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-020100ab.cha 912 12669 912  19   2.0833333  2.549530350
Litlhare ADS child  323 6836  2.90  2.05 Litlhare-030200cd.cha 804 12669 804  20   2.4875622  2.549530350
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020400cd.cha 505 12669 505   1   0.1980198  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-030200ab.cha 788 12669 788   9   1.1421320  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020100cd.cha 732 12669 732   3   0.4098361  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-030200cd.cha 804 12669 804   3   0.3731343  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020600ab.cha 645 12669 645   4   0.6201550  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020500ef.cha 310 12669 310   1   0.3225806  0.386770858
Litlhare ADS mother   49 5493  0.72  0.69 Litlhare-020600cd.cha 589 12669 589   2   0.3395586  0.386770858
