targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Neuoe,child,OCDS,Neuoe-031000e.cha,18,61,3.388,0.860784313725,4,36,.111,.333
Neuoe,child,OCDS,Neuoe-040000ab.cha,472,1238,2.622,0.880374592834,118,299,.177,.783
Neuoe,child,OCDS,Neuoe-040000cd.cha,235,821,3.493,0.878298397041,29,205,.076,.697
Neuoe,child,OCDS,Neuoe-040100ab.cha,,,,,,,,.500
Neuoe,child,OCDS,Neuoe-040100cd.cha,160,617,3.856,0.911202635914,18,168,.187,.903
Neuoe,child,OCDS,Neuoe-040100ef.cha,270,917,3.396,0.908379272326,35,261,.140,.942
Neuoe,child,OCDS,Neuoe-040300ab.cha,242,748,3.090,0.913279132791,54,220,.157,.607
Neuoe,child,OCDS,Neuoe-040300cd.cha,93,280,3.010,0.892222222222,17,93,.193,.608
Neuoe,child,OCDS,Neuoe-040300e.cha,9,26,2.888,0.71875,0,16,0,.444
Neuoe,child,OCDS,Neuoe-040300f.cha,18,79,4.388,0.868115942029,0,36,.111,.055
Neuoe,child,OCDS,Neuoe-040500ab.cha,44,120,2.727,0.907272727273,9,53,.227,.700
Neuoe,child,OCDS,Neuoe-040500cd.cha,234,926,3.957,0.885043668122,22,246,.111,.421
Neuoe,child,OCDS,Neuoe-040500e.cha,44,141,3.204,0.931297709924,7,73,.113,.918
