"register" "speakers" "keychild" "session" "nb_utt"
"OCDS" "adult" "Neuoe" "Neuoe-040100cd.cha" 2
"ADS" "child" "Neuoe" "Neuoe-040100cd.cha" 71
"CDS" "child" "Neuoe" "Neuoe-040100cd.cha" 145
"OCDS" "child" "Neuoe" "Neuoe-040100cd.cha" 160
"ADS" "mother" "Neuoe" "Neuoe-040100cd.cha" 2
"CDS" "mother" "Neuoe" "Neuoe-040100cd.cha" 26
"OCDS" "mother" "Neuoe" "Neuoe-040100cd.cha" 91
"ADS" "child" "Neuoe" "Neuoe-040100ef.cha" 28
"CDS" "child" "Neuoe" "Neuoe-040100ef.cha" 50
"OCDS" "child" "Neuoe" "Neuoe-040100ef.cha" 270
"CDS" "mother" "Neuoe" "Neuoe-040100ef.cha" 4
"OCDS" "mother" "Neuoe" "Neuoe-040100ef.cha" 55
"ADS" "adult" "Neuoe" "Neuoe-040300ab.cha" 1
"CDS" "adult" "Neuoe" "Neuoe-040300ab.cha" 68
"OCDS" "adult" "Neuoe" "Neuoe-040300ab.cha" 44
"ADS" "child" "Neuoe" "Neuoe-040300ab.cha" 112
"CDS" "child" "Neuoe" "Neuoe-040300ab.cha" 55
"OCDS" "child" "Neuoe" "Neuoe-040300ab.cha" 242
