utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
19167	MOT	mother	tiens en voilà un autre				Anais/247b.cha	1	clara						Anais	mother	Keychild
19173	MOT	mother	là peutêtre Nine				Anais/247b.cha	1	clara						Anais	mother	Keychild
19175	MOT	mother	ou là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19177	MOT	mother	non				Anais/247b.cha	1	clara						Anais	mother	Keychild
19179	MOT	mother	non plus				Anais/247b.cha	1	clara						Anais	mother	Keychild
19181	MOT	mother	là il va Nounette je pense			%com passage non transcrit de Chl 16397871641725/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19182	MOT	mother	tiens essaie de le mettre là			%com passage non transcrit entre Chl et Mot 1641725164915/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19187	MOT	mother	dans l'autre sens ma chérie				Anais/247b.cha	1	clara						Anais	mother	Keychild
19188	MOT	mother	comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
19189	MOT	mother	vas y				Anais/247b.cha	1	clara						Anais	mother	Keychild
19190	MOT	mother	ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
19199	MOT	mother	tiens chérie				Anais/247b.cha	1	clara						Anais	mother	Keychild
19206	MOT	mother	tiens mets le bord mon ange				Anais/247b.cha	1	clara						Anais	mother	Keychild
19208	MOT	mother	mets le le bleu là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19215	MOT	mother	mets celuilà ma chérie				Anais/247b.cha	1	clara						Anais	mother	Keychild
19217	MOT	mother	mets le Ana là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19219	MOT	mother	tu arrêtes de tout stocker				Anais/247b.cha	1	clara						Anais	mother	Keychild
19226	MOT	mother	là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19227	MOT	mother	voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
19228	MOT	mother	après tu mets le petit que tu as sous les fesses			%com passage non transcrit de Mot 18981838/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19234	MOT	mother	allez tu mets le petit bout là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19236	MOT	mother	oui là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19237	MOT	mother	dans l'autre sens ma chérie				Anais/247b.cha	1	clara						Anais	mother	Keychild
19243	MOT	mother	tourne				Anais/247b.cha	1	clara						Anais	mother	Keychild
19245	MOT	mother	tourne				Anais/247b.cha	1	clara						Anais	mother	Keychild
19246	MOT	mother	non				Anais/247b.cha	1	clara						Anais	mother	Keychild
19248	MOT	mother	oui				Anais/247b.cha	1	clara						Anais	mother	Keychild
19249	MOT	mother	tourne le maintenant			%com passage non transcrit de Chl 183651833542/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19252	MOT	mother	oui comme ça très bien				Anais/247b.cha	1	clara						Anais	mother	Keychild
19253	MOT	mother	voilà très bien				Anais/247b.cha	1	clara						Anais	mother	Keychild
19254	MOT	mother	maintenant tu mets le bleu				Anais/247b.cha	1	clara						Anais	mother	Keychild
19255	MOT	mother	le grand bleu				Anais/247b.cha	1	clara						Anais	mother	Keychild
19257	MOT	mother	oui celuilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
19260	MOT	mother	très bien				Anais/247b.cha	1	clara						Anais	mother	Keychild
19265	MOT	mother	appuie comme il faut au bout làbas				Anais/247b.cha	1	clara						Anais	mother	Keychild
19267	MOT	mother	au bout ça marche pas là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19270	MOT	mother	encore				Anais/247b.cha	1	clara						Anais	mother	Keychild
19272	MOT	mother	merci				Anais/247b.cha	1	clara						Anais	mother	Keychild
19274	MOT	mother	allez mets les autres qui manquent				Anais/247b.cha	1	clara						Anais	mother	Keychild
19275	MOT	mother	tu mets Daisy et Dingo Donald				Anais/247b.cha	1	clara						Anais	mother	Keychild
19277	MOT	mother	ça c'est Daisy oui				Anais/247b.cha	1	clara						Anais	mother	Keychild
19279	MOT	mother	il doit aller là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19285	MOT	mother	allez mets Donald et le perroquet				Anais/247b.cha	1	clara						Anais	mother	Keychild
